,open_date,open_price,position_type,shares,close_date,close_price,pnl/trade,pnl
0,2016-01-15,10.170000076293945,SHORT,50,2016-04-27,15.230001449584961,253.00006866455078,253.00006866455078
1,2016-04-28,16.470001220703125,SHORT,50,2016-09-29,16.76999855041504,14.999866485595703,267.9999351501465
2,2016-09-30,16.67999839782715,LONG,50,2016-12-07,7.979999542236328,-434.999942779541,-167.00000762939453
3,2016-12-08,9.779998779296875,SHORT,50,2017-02-27,10.960000991821289,59.0001106262207,-107.99989700317383
4,2017-02-28,11.230001449584961,SHORT,50,2017-06-12,20.270000457763672,451.99995040893555,344.0000534057617
